dep;semaine_glissante;pop;P;T
02;2020-09-24-2020-09-30;526050;244;4885
02;2020-09-25-2020-10-01;526050;262;4854
02;2020-09-26-2020-10-02;526050;280;4885
02;2020-09-27-2020-10-03;526050;273;4989
02;2020-09-28-2020-10-04;526050;269;5006
02;2020-09-29-2020-10-05;526050;307;5220
02;2020-09-30-2020-10-06;526050;368;5599
02;2020-10-01-2020-10-07;526050;413;5856
02;2020-10-02-2020-10-08;526050;455;6223
02;2020-10-03-2020-10-09;526050;501;6431
02;2020-10-04-2020-10-10;526050;542;6724
02;2020-10-05-2020-10-11;526050;543;6698
02;2020-10-06-2020-10-12;526050;598;7053
02;2020-10-07-2020-10-13;526050;666;7516
02;2020-10-08-2020-10-14;526050;712;7942
02;2020-10-09-2020-10-15;526050;791;8512
02;2020-10-10-2020-10-16;526050;888;9049
02;2020-10-11-2020-10-17;526050;913;9150
02;2020-10-12-2020-10-18;526050;915;9178
02;2020-10-13-2020-10-19;526050;1028;9740
02;2020-10-14-2020-10-20;526050;1138;9960
02;2020-10-15-2020-10-21;526050;1202;10061
02;2020-10-16-2020-10-22;526050;1349;10369
02;2020-10-17-2020-10-23;526050;1453;10679
02;2020-10-18-2020-10-24;526050;1522;10910
02;2020-10-19-2020-10-25;526050;1526;10952
02;2020-10-20-2020-10-26;526050;1559;11135
02;2020-10-21-2020-10-27;526050;1614;11504
02;2020-10-22-2020-10-28;526050;1702;12143
02;2020-10-23-2020-10-29;526050;1670;12338
02;2020-10-24-2020-10-30;526050;1679;12623
02;2020-10-25-2020-10-31;526050;1709;12776
02;2020-10-26-2020-11-01;526050;1715;12764
02;2020-10-27-2020-11-02;526050;1760;12752
02;2020-10-28-2020-11-03;526050;1741;12896
02;2020-10-29-2020-11-04;526050;1759;13025
02;2020-10-30-2020-11-05;526050;1764;13274
02;2020-10-31-2020-11-06;526050;1737;13615
02;2020-11-01-2020-11-07;526050;1760;13775
02;2020-11-02-2020-11-08;526050;1756;13751
02;2020-11-03-2020-11-09;526050;1706;13558
02;2020-11-04-2020-11-10;526050;1669;13644
02;2020-11-05-2020-11-11;526050;1390;11562
02;2020-11-06-2020-11-12;526050;1305;11238
02;2020-11-07-2020-11-13;526050;1253;10935
02;2020-11-08-2020-11-14;526050;1153;10543
02;2020-11-09-2020-11-15;526050;1154;10535
02;2020-11-10-2020-11-16;526050;1039;10141
02;2020-11-11-2020-11-17;526050;918;9428
02;2020-11-12-2020-11-18;526050;1046;10760
02;2020-11-13-2020-11-19;526050;995;10255
02;2020-11-14-2020-11-20;526050;901;9729
02;2020-11-15-2020-11-21;526050;853;9674
02;2020-11-16-2020-11-22;526050;845;9669
02;2020-11-17-2020-11-23;526050;833;9498
02;2020-11-18-2020-11-24;526050;793;9444
02;2020-11-19-2020-11-25;526050;749;9174
02;2020-11-20-2020-11-26;526050;714;9025
02;2020-11-21-2020-11-27;526050;679;8857
02;2020-11-22-2020-11-28;526050;655;8749
02;2020-11-23-2020-11-29;526050;660;8753
02;2020-11-24-2020-11-30;526050;622;8555
02;2020-11-25-2020-12-01;526050;643;8354
02;2020-11-26-2020-12-02;526050;638;8288
02;2020-11-27-2020-12-03;526050;610;8107
02;2020-11-28-2020-12-04;526050;650;8071
