reg;semaine_glissante;pop;P;T;nom_region
01;2021-03-29-2021-04-04;376879;399;4287;Guadeloupe
01;2021-03-30-2021-04-05;376879;367;3524;Guadeloupe
01;2021-03-31-2021-04-06;376879;389;3832;Guadeloupe
01;2021-04-01-2021-04-07;376879;421;3987;Guadeloupe
01;2021-04-02-2021-04-08;376879;492;4260;Guadeloupe
01;2021-04-03-2021-04-09;376879;590;5228;Guadeloupe
01;2021-04-04-2021-04-10;376879;596;5151;Guadeloupe
01;2021-04-05-2021-04-11;376879;610;5171;Guadeloupe
01;2021-04-06-2021-04-12;376879;736;6131;Guadeloupe
01;2021-04-07-2021-04-13;376879;769;6186;Guadeloupe
01;2021-04-08-2021-04-14;376879;805;6452;Guadeloupe
01;2021-04-09-2021-04-15;376879;793;6645;Guadeloupe
01;2021-04-10-2021-04-16;376879;801;6858;Guadeloupe
01;2021-04-11-2021-04-17;376879;821;7067;Guadeloupe
01;2021-04-12-2021-04-18;376879;804;7068;Guadeloupe
01;2021-04-13-2021-04-19;376879;822;7357;Guadeloupe
01;2021-04-14-2021-04-20;376879;839;7502;Guadeloupe
01;2021-04-15-2021-04-21;376879;838;7725;Guadeloupe
01;2021-04-16-2021-04-22;376879;855;7712;Guadeloupe
01;2021-04-17-2021-04-23;376879;839;7832;Guadeloupe
01;2021-04-18-2021-04-24;376879;812;7803;Guadeloupe
01;2021-04-19-2021-04-25;376879;826;7837;Guadeloupe
01;2021-04-20-2021-04-26;376879;809;7885;Guadeloupe
01;2021-04-21-2021-04-27;376879;807;7936;Guadeloupe
01;2021-04-22-2021-04-28;376879;809;7725;Guadeloupe
01;2021-04-23-2021-04-29;376879;786;7893;Guadeloupe
01;2021-04-24-2021-04-30;376879;781;7832;Guadeloupe
01;2021-04-25-2021-05-01;376879;754;7547;Guadeloupe
01;2021-04-26-2021-05-02;376879;740;7571;Guadeloupe
01;2021-04-27-2021-05-03;376879;740;7639;Guadeloupe
01;2021-04-28-2021-05-04;376879;707;7548;Guadeloupe
01;2021-04-29-2021-05-05;376879;647;7566;Guadeloupe
01;2021-04-30-2021-05-06;376879;615;7429;Guadeloupe
01;2021-05-01-2021-05-07;376879;601;7335;Guadeloupe
01;2021-05-02-2021-05-08;376879;597;7359;Guadeloupe
01;2021-05-03-2021-05-09;376879;595;7327;Guadeloupe
01;2021-05-04-2021-05-10;376879;569;7024;Guadeloupe
01;2021-05-05-2021-05-11;376879;540;6784;Guadeloupe
01;2021-05-06-2021-05-12;376879;528;6587;Guadeloupe
01;2021-05-07-2021-05-13;376879;454;5649;Guadeloupe
01;2021-05-08-2021-05-14;376879;429;5584;Guadeloupe
01;2021-05-09-2021-05-15;376879;445;5750;Guadeloupe
01;2021-05-10-2021-05-16;376879;446;5746;Guadeloupe
01;2021-05-11-2021-05-17;376879;409;5390;Guadeloupe
01;2021-05-12-2021-05-18;376879;371;5231;Guadeloupe
01;2021-05-13-2021-05-19;376879;353;5102;Guadeloupe
01;2021-05-14-2021-05-20;376879;387;5695;Guadeloupe
01;2021-05-15-2021-05-21;376879;371;5263;Guadeloupe
01;2021-05-16-2021-05-22;376879;370;5268;Guadeloupe
01;2021-05-17-2021-05-23;376879;363;5233;Guadeloupe
01;2021-05-18-2021-05-24;376879;272;4345;Guadeloupe
01;2021-05-19-2021-05-25;376879;293;4337;Guadeloupe
01;2021-05-20-2021-05-26;376879;280;4104;Guadeloupe
01;2021-05-21-2021-05-27;376879;242;3587;Guadeloupe
01;2021-05-22-2021-05-28;376879;258;3982;Guadeloupe
01;2021-05-23-2021-05-29;376879;249;4022;Guadeloupe
01;2021-05-24-2021-05-30;376879;251;4057;Guadeloupe
01;2021-05-25-2021-05-31;376879;293;4792;Guadeloupe
01;2021-05-26-2021-06-01;376879;257;4682;Guadeloupe
01;2021-05-27-2021-06-02;376879;243;4681;Guadeloupe
01;2021-05-28-2021-06-03;376879;248;4997;Guadeloupe
01;2021-05-29-2021-06-04;376879;201;4763;Guadeloupe
01;2021-05-30-2021-06-05;376879;192;4650;Guadeloupe
01;2021-05-31-2021-06-06;376879;190;4645;Guadeloupe
01;2021-06-01-2021-06-07;376879;174;4545;Guadeloupe
01;2021-06-02-2021-06-08;376879;167;4418;Guadeloupe
01;2021-06-03-2021-06-09;376879;157;4351;Guadeloupe
01;2021-06-04-2021-06-10;376879;154;4416;Guadeloupe
01;2021-06-05-2021-06-11;376879;158;4307;Guadeloupe
01;2021-06-06-2021-06-12;376879;155;4350;Guadeloupe
01;2021-06-07-2021-06-13;376879;149;4331;Guadeloupe
01;2021-06-08-2021-06-14;376879;146;4256;Guadeloupe
01;2021-06-09-2021-06-15;376879;120;4211;Guadeloupe
01;2021-06-10-2021-06-16;376879;116;4171;Guadeloupe
01;2021-06-11-2021-06-17;376879;118;4311;Guadeloupe
01;2021-06-12-2021-06-18;376879;117;4806;Guadeloupe
01;2021-06-13-2021-06-19;376879;114;4955;Guadeloupe
01;2021-06-14-2021-06-20;376879;114;5004;Guadeloupe
01;2021-06-15-2021-06-21;376879;109;5048;Guadeloupe
01;2021-06-16-2021-06-22;376879;135;5057;Guadeloupe
01;2021-06-17-2021-06-23;376879;143;5192;Guadeloupe
01;2021-06-18-2021-06-24;376879;158;5168;Guadeloupe
01;2021-06-19-2021-06-25;376879;148;4784;Guadeloupe
01;2021-06-20-2021-06-26;376879;149;4758;Guadeloupe
01;2021-06-21-2021-06-27;376879;149;4764;Guadeloupe
01;2021-06-22-2021-06-28;376879;156;4968;Guadeloupe
01;2021-06-23-2021-06-29;376879;142;4987;Guadeloupe
01;2021-06-24-2021-06-30;376879;141;4933;Guadeloupe
01;2021-06-25-2021-07-01;376879;133;4875;Guadeloupe
01;2021-06-26-2021-07-02;376879;139;4880;Guadeloupe
01;2021-06-27-2021-07-03;376879;139;4835;Guadeloupe
01;2021-06-28-2021-07-04;376879;147;4851;Guadeloupe
01;2021-06-29-2021-07-05;376879;164;4693;Guadeloupe
01;2021-06-30-2021-07-06;376879;175;4835;Guadeloupe
01;2021-07-01-2021-07-07;376879;180;5002;Guadeloupe
01;2021-07-02-2021-07-08;376879;178;5303;Guadeloupe
01;2021-07-03-2021-07-09;376879;196;5648;Guadeloupe
01;2021-07-04-2021-07-10;376879;202;5846;Guadeloupe
01;2021-07-05-2021-07-11;376879;198;5800;Guadeloupe
01;2021-07-06-2021-07-12;376879;193;6047;Guadeloupe
01;2021-07-07-2021-07-13;376879;226;6447;Guadeloupe
01;2021-07-08-2021-07-14;376879;205;5929;Guadeloupe
01;2021-07-09-2021-07-15;376879;253;6289;Guadeloupe
01;2021-07-10-2021-07-16;376879;291;6461;Guadeloupe
