dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
22;24;2022-05-01;44819;44332;33280;0;36952.0;99.0;99.0;90.1;0.0
22;29;2022-05-01;24393;24124;17587;0;23678.0;99.0;99.0;74.3;0.0
22;39;2022-05-01;55798;55257;42081;0;60806.0;91.8;90.9;69.2;0.0
22;49;2022-05-01;67116;66680;55700;0;72804.0;92.2;91.6;76.5;0.0
22;59;2022-05-01;76702;76369;68118;0;80453.0;95.3;94.9;84.7;0.0
22;09;2022-05-01;1490;1159;1;0;33070.0;4.5;3.5;0.0;0.0
22;64;2022-05-01;41159;41011;37716;1009;43408.0;94.8;94.5;86.9;2.3
22;69;2022-05-01;42134;41943;39305;1189;44297.0;95.1;94.7;88.7;2.7
22;74;2022-05-01;42423;42168;39787;1336;40776.0;99.0;99.0;97.6;3.3
22;79;2022-05-01;25105;24940;23452;2250;24257.0;99.0;99.0;96.7;9.3
22;80;2022-05-01;45754;45037;39880;6983;50299.0;91.0;89.5;79.3;13.9
23;04;2022-05-01;2;0;0;0;4191.0;0.0;0.0;0.0;0.0
23;11;2022-05-01;172;143;5;0;2304.0;7.5;6.2;0.2;0.0
23;17;2022-05-01;5922;5754;1143;0;7037.0;84.2;81.8;16.2;0.0
23;24;2022-05-01;6599;6538;4825;0;6260.0;99.0;99.0;77.1;0.0
23;29;2022-05-01;3870;3821;2746;0;4492.0;86.2;85.1;61.1;0.0
23;39;2022-05-01;8602;8510;6315;0;10711.0;80.3;79.5;59.0;0.0
23;49;2022-05-01;10952;10848;8900;0;13371.0;81.9;81.1;66.6;0.0
23;59;2022-05-01;14736;14671;12896;0;17031.0;86.5;86.1;75.7;0.0
23;09;2022-05-01;134;107;0;0;5159.0;2.6;2.1;0.0;0.0
23;64;2022-05-01;8501;8469;7700;219;9821.0;86.6;86.2;78.4;2.2
23;69;2022-05-01;8615;8570;7955;248;9849.0;87.5;87.0;80.8;2.5
23;74;2022-05-01;8600;8535;7968;291;8970.0;95.9;95.2;88.8;3.2
23;79;2022-05-01;5112;5072;4699;373;5131.0;99.0;98.9;91.6;7.3
23;80;2022-05-01;10092;9914;8686;1124;11943.0;84.5;83.0;72.7;9.4
24;04;2022-05-01;5;0;0;0;15506.0;0.0;0.0;0.0;0.0
24;11;2022-05-01;790;610;13;0;8549.0;9.2;7.1;0.2;0.0
24;17;2022-05-01;21946;21378;4240;0;25834.0;85.0;82.8;16.4;0.0
24;24;2022-05-01;25069;24646;16889;0;22541.0;99.0;99.0;74.9;0.0
24;29;2022-05-01;14443;14192;9500;0;15932.0;90.7;89.1;59.6;0.0
24;39;2022-05-01;33266;32833;23334;0;39189.0;84.9;83.8;59.5;0.0
24;49;2022-05-01;41695;41323;32948;0;48292.0;86.3;85.6;68.2;0.0
