reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
11;39;2022-04-28;1574706;1556492;1059399;0;1757848.0;89.6;88.5;60.3;0.0
11;49;2022-04-28;1532545;1519080;1130427;0;1671811.0;91.7;90.9;67.6;0.0
11;59;2022-04-28;1462693;1453195;1197040;0;1538636.0;95.1;94.4;77.8;0.0
11;09;2022-04-28;23868;19580;209;0;801166.0;3.0;2.4;0.0;0.0
11;64;2022-04-28;595925;592390;509793;12902;631296.0;94.4;93.8;80.8;2.0
11;69;2022-04-28;489274;486062;428641;15186;546545.0;89.5;88.9;78.4;2.8
11;74;2022-04-28;457887;454968;407766;20777;480366.0;95.3;94.7;84.9;4.3
11;79;2022-04-28;295317;293065;262463;33828;312596.0;94.5;93.8;84.0;10.8
11;80;2022-04-28;476369;468981;404859;97641;546230.0;87.2;85.9;74.1;17.9
24;04;2022-04-28;35;11;2;0;131083.0;0.0;0.0;0.0;0.0
24;11;2022-04-28;6743;5483;101;0;63840.0;10.6;8.6;0.2;0.0
24;17;2022-04-28;168808;165298;37636;0;190351.0;88.7;86.8;19.8;0.0
24;24;2022-04-28;191633;189325;138275;0;184324.0;99.0;99.0;75.0;0.0
24;29;2022-04-28;115833;114334;81746;0;124422.0;93.1;91.9;65.7;0.0
24;39;2022-04-28;257927;255107;189109;0;292368.0;88.2;87.3;64.7;0.0
24;49;2022-04-28;289901;287940;235653;0;320587.0;90.4;89.8;73.5;0.0
24;59;2022-04-28;320600;319164;281817;0;340563.0;94.1;93.7;82.8;0.0
24;09;2022-04-28;5228;4105;7;0;153323.0;3.4;2.7;0.0;0.0
24;64;2022-04-28;154656;154076;141055;4273;166953.0;92.6;92.3;84.5;2.6
24;69;2022-04-28;151030;150454;139884;4362;163733.0;92.2;91.9;85.4;2.7
24;74;2022-04-28;149750;149086;139838;4841;148237.0;99.0;99.0;94.3;3.3
24;79;2022-04-28;93573;92996;86835;8692;91784.0;99.0;99.0;94.6;9.5
24;80;2022-04-28;166342;163905;145322;30146;187505.0;88.7;87.4;77.5;16.1
27;04;2022-04-28;50;15;4;0;135181.0;0.0;0.0;0.0;0.0
27;11;2022-04-28;6417;5191;113;0;66215.0;9.7;7.8;0.2;0.0
27;17;2022-04-28;168882;165275;32140;0;201897.0;83.6;81.9;15.9;0.0
27;24;2022-04-28;198865;196414;139536;0;205819.0;96.6;95.4;67.8;0.0
27;29;2022-04-28;120293;118701;80982;0;136034.0;88.4;87.3;59.5;0.0
27;39;2022-04-28;263916;260832;184401;0;315411.0;83.7;82.7;58.5;0.0
